,ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
0,FPT,14:29:55,Buy Up,SHEEP,200,129950.0,2,250.0
1,FPT,14:29:46,Sell Down,SHEEP,1500,129700.0,3,-100.0
2,FPT,14:29:46,Buy Up,SHEEP,800,129800.0,2,0.0
3,FPT,14:29:45,Sell Down,WOLF,2000,129800.0,2,-100.0
4,FPT,14:29:45,Buy Up,SHEEP,200,129900.0,2,-100.0
5,FPT,14:29:34,Sell Down,SHEEP,1400,130000.0,1,-100.0
6,FPT,14:29:34,Buy Up,SHEEP,100,130100.0,1,100.0
7,FPT,14:29:30,Buy Up,SHEEP,200,130000.0,1,0.0
8,FPT,14:29:27,Sell Down,WOLF,2100,130000.0,5,-100.0
9,FPT,14:29:21,Buy Up,SHEEP,200,130100.0,1,100.0
10,FPT,14:29:20,Sell Down,SHEEP,200,130000.0,1,0.0
11,FPT,14:29:18,Sell Down,SHEEP,500,130000.0,1,0.0
12,FPT,14:29:10,Sell Down,WOLF,2000,130000.0,1,-100.0
13,FPT,14:29:09,Buy Up,SHEEP,300,130100.0,1,100.0
14,FPT,14:29:00,Sell Down,SHEEP,200,130000.0,1,0.0
15,FPT,14:28:59,Sell Down,SHEEP,500,130000.0,1,0.0
16,FPT,14:28:50,Sell Down,SHEEP,100,130000.0,1,0.0
17,FPT,14:28:36,Buy Up,SHEEP,100,130000.0,1,0.0
18,FPT,14:28:18,Buy Up,WOLF,2000,130000.0,3,0.0
19,FPT,14:28:12,Sell Down,SHEEP,200,130000.0,1,0.0
20,FPT,14:28:11,Buy Up,SHEEP,200,130000.0,1,0.0
21,FPT,14:28:08,Buy Up,SHEEP,700,130000.0,1,-100.0
22,FPT,14:28:01,Buy Up,WOLF,4600,130100.0,5,0.0
23,FPT,14:27:53,Buy Up,SHEEP,400,130100.0,3,100.0
24,FPT,14:27:53,Sell Down,SHEEP,300,130000.0,2,0.0
25,FPT,14:27:47,Sell Down,WOLF,2800,130000.0,3,0.0
26,FPT,14:27:30,Sell Down,SHEEP,1400,130000.0,2,0.0
27,FPT,14:27:27,Sell Down,SHEEP,1500,130000.0,1,0.0
28,FPT,14:27:26,Sell Down,SHEEP,100,130000.0,1,0.0
29,FPT,14:27:23,Sell Down,SHEEP,600,130000.0,1,0.0
30,FPT,14:27:16,Sell Down,SHEEP,100,130000.0,1,0.0
31,FPT,14:27:13,Sell Down,SHEEP,100,130000.0,1,0.0
32,FPT,14:27:12,Buy Up,WOLF,7300,130000.0,9,400.0
33,FPT,14:27:08,Sell Down,SHEEP,1000,129600.0,1,0.0
34,FPT,14:27:07,Sell Down,SHEEP,500,129600.0,3,-400.0
