time,open,high,low,close,volume,ticker
2024-03-01,109200,111400,109100,110800,4019400,FPT
2024-03-04,111000,111800,110800,111400,3087100,FPT
2024-03-05,111400,111400,109900,110700,3383000,FPT
2024-03-06,110000,110400,108400,109100,3702600,FPT
2024-03-07,109100,113900,108200,111300,4037600,FPT
2024-03-08,111300,112600,109500,110000,3115600,FPT
2024-03-11,110000,113500,110000,110000,3381500,FPT
2024-03-12,110000,113500,110000,111900,2907800,FPT
2024-03-13,112800,117000,112000,117000,5114200,FPT
2024-03-14,118500,118500,115700,117000,3463000,FPT
2024-03-15,116800,116800,114500,116000,3838400,FPT
2024-03-18,115800,115800,111100,113000,5884600,FPT
2024-03-19,113000,113000,111100,112000,3315400,FPT
2024-03-20,112300,115000,111100,114500,3475700,FPT
2024-03-21,115200,116200,114600,116200,3757800,FPT
2024-03-22,116300,116300,114500,114900,2414800,FPT
2024-03-25,114100,115100,113800,114000,2794400,FPT
2024-03-26,114000,115500,113600,115000,1693300,FPT
2024-03-27,114700,115300,114100,115200,1320200,FPT
2024-03-28,115900,117400,115300,117100,2803200,FPT
2024-03-29,116400,117200,116000,116500,1343500,FPT
2024-04-01,116000,117600,115200,116800,1974600,FPT
2024-04-02,115400,117000,115400,117000,2285800,FPT
2024-04-03,116100,117000,115100,115100,2549000,FPT
2024-04-04,115000,115800,114000,114000,2359500,FPT
2024-04-05,113100,114700,112600,113700,2759000,FPT
2024-04-08,113700,113700,112600,112600,1952000,FPT
2024-04-09,112600,113200,112500,113000,1432500,FPT
2024-04-10,113500,115600,113300,113800,1791100,FPT
2024-04-11,113500,115400,113300,114900,1549400,FPT
2024-04-12,115900,115900,114300,115500,1367300,FPT
2024-04-15,115500,115600,111500,111600,3701900,FPT
2024-04-16,112000,113200,111500,113000,3642700,FPT
2024-04-17,113100,113100,111600,111800,1943300,FPT
2024-04-19,110500,111200,109000,109000,5361100,FPT
