Prices,Volumes,Signals
104100,1884300,Hold
104900,2125400,Hold
104000,2248400,Hold
105100,2066000,Sell
105000,2031800,Hold
104300,1844300,Sell
105900,3137500,Hold
104600,1718700,Buy
103900,4103500,Sell
108000,4466700,Hold
107900,2800800,Buy
108500,3461700,Hold
109000,2824800,Hold
110800,4019400,Hold
111400,3087100,Buy
110700,3383000,Hold
109100,3702600,Sell
111300,4037600,Sell
110000,3115600,Buy
110000,3381500,Sell
111900,2907800,Hold
117000,5114200,Buy
117000,3463000,Buy
116000,3838400,Hold
113000,5884600,Sell
112000,3315400,Sell
114500,3475700,Sell
116200,3757800,Buy
114900,2414800,Buy
114000,2794400,Sell
115000,1693300,Sell
115200,1320200,Hold
117100,2803200,Hold
116500,1343500,Buy
116800,1974600,Sell
117000,2285800,Hold
115100,2549000,Hold
114000,2359500,Sell
113700,2759000,Sell
112600,1952000,Sell
113000,1432500,Sell
113800,1791100,Hold
114900,1549400,Hold
115500,1367300,Hold
111600,3701900,Hold
113000,3642700,Sell
111800,1943300,Buy
109000,5361100,Sell
110300,2397300,Sell
112300,4037600,Buy
120100,10158700,Buy
123200,5707700,Buy
123200,3396500,Buy
